"REF_DATE","GEO","DGUID","Vehicle type","Fuel type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-10","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","13483","","","","0"
"2022-11","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","12963","","","","0"
"2022-12","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","10201","","","","0"
"2023-01","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","8437","","","","0"
"2023-02","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","10103","","","","0"
"2023-03","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","12773","","","","0"
"2023-04","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","11568","","","","0"
"2023-05","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","14605","","","","0"
"2023-06","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","18281","","","","0"
"2023-07","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","11911","","","","0"
"2023-08","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","13707","","","","0"
"2023-09","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","15252","","","","0"
"2023-10","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","12302","","","","0"
"2023-11","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","10492","","","","0"
"2023-12","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","9434","","","","0"
"2024-01","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","7997","","","","0"
"2024-02","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","8156","","","","0"
"2024-03","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","15227","","","","0"
"2024-04","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","14234","","","","0"
"2024-05","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","15290","","","","0"
"2024-06","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","12864","","","","0"
"2024-07","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","12329","","","","0"
"2024-08","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","9768","","","","0"
"2024-09","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","10158","","","","0"
"2024-10","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","10620","","","","0"
"2024-11","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","11367","","","","0"
"2024-12","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","8826","","","","0"
"2025-01","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","8396","","","","0"
"2025-02","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","7488","","","","0"
"2025-03","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","11773","","","","0"
"2025-04","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","12410","","","","0"
"2025-05","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","13436","","","","0"
